airfoil,re,alpha_deg,cl,cd,cm,confidence
ag35,150000.0,4.25,0.8744078342900897,0.014325122196003737,-0.041651496412153786,0.9810031470176493
ag35,150000.0,4.5,0.8983479016521111,0.014775061533993468,-0.04089194471290357,0.9802340544113357
ag35,150000.0,4.75,0.9215977029707824,0.01530771444975759,-0.0401033522531257,0.9794705611890163
ag35,150000.0,5.0,0.9441685970450253,0.015909899450137377,-0.03931013514686205,0.9787417193306677
ag35,150000.0,5.25,0.9662630460247019,0.01655498301900143,-0.03849027398107717,0.9781036356714062
ag35,150000.0,5.5,0.9880242281100391,0.017224312523898867,-0.03762268209398591,0.9776600490738384
ag35,150000.0,5.75,1.0094682679817404,0.017912729754849862,-0.03670698035885207,0.9774999006051919
ag35,150000.0,6.0,1.0304599586214347,0.01863239656398971,-0.0357441211778301,0.9776698999831737
ag35,150000.0,6.25,1.0506793185548773,0.019424218764864394,-0.03471623465790254,0.9781994943701472
ag35,150000.0,6.5,1.0697709844705618,0.020359949008306275,-0.03360237637815525,0.979109678891747
ag35,150000.0,6.75,1.087621274489043,0.021492842642331925,-0.032425874942425166,0.9803432980012282
ag35,150000.0,7.0,1.1044414247959753,0.02278836204974098,-0.031218824221112565,0.9816832683659363
ag35,150000.0,7.25,1.1204977864433316,0.024177227045173003,-0.029959113739610323,0.9828312159789961
ag35,150000.0,7.5,1.135970161348872,0.025646636131906608,-0.028614268726184843,0.9835614101577371
ag35,150000.0,7.75,1.1510569719435506,0.027225926672663967,-0.027180232614866746,0.9837579978023977
ag35,150000.0,8.0,1.1660084631483518,0.0289417797501364,-0.025679019927233232,0.9833549542075775
ag35,150000.0,8.25,1.1810428805234263,0.030803477307405822,-0.024146494697648582,0.9822768766271684
ag35,150000.0,8.5,1.1962371772708285,0.032806532778517146,-0.02261812108741678,0.9804112998079231
ag35,150000.0,8.75,1.2114421927498684,0.034940285027963196,-0.021115486167282684,0.977600936178835
ag35,150000.0,9.0,1.2262394035629707,0.03719526030862912,-0.019637248036949898,0.9736415881009443
ag35,150000.0,9.25,1.2399431241885583,0.039569732890876105,-0.018156858289023328,0.9682783919050076
ag35,150000.0,9.5,1.2516475174884785,0.04207542959912745,-0.016627913904314902,0.9611989858014841
ag35,150000.0,9.75,1.26031722098748,0.04474210777212047,-0.014998369867743342,0.9520270896204858
ag35,150000.0,10.0,1.2649212392671574,0.04762013941876266,-0.013235651871980031,0.9403237831036876
ag35,150000.0,10.25,1.264604567094386,0.050779483731443364,-0.011361982007008864,0.9256001110729773
ag35,150000.0,10.5,1.2588620535774777,0.05430373956900325,-0.009490728094396923,0.9073169905954752
ag35,150000.0,10.75,1.2476217600163897,0.05828141107980241,-0.007846829396067343,0.8847845791909524
ag35,150000.0,11.0,1.2311220592709202,0.06280385930072915,-0.0067634425977378615,0.8568197390983219
ag35,150000.0,11.25,1.2095605031455374,0.06798804497593204,-0.006673318117845602,0.8211220813281411
ag35,150000.0,11.5,1.1826311026784753,0.0740529213272502,-0.008112841374301526,0.7737241789210854
ag35,150000.0,11.75,1.1490795215290623,0.08149275808863353,-0.011686146739987323,0.7094999823866177
ag35,150000.0,12.0,1.106765914815362,0.09129731149227444,-0.017856692685927447,0.6251113543931015
ag35,150000.0,12.25,1.0550069795083292,0.10470451661420702,-0.02652932781132541,0.5242764323402466
ag35,150000.0,12.5,0.9989567250999638,0.12181324606899643,-0.03677195148507088,0.42012750280308037
ag35,150000.0,12.75,0.9488383842084075,0.14031463895268279,-0.047184839864502025,0.3282866130233118
ag35,150000.0,13.0,0.9124119842758561,0.15673704694922921,-0.05663500068786253,0.2570967397317245
ag35,150000.0,13.25,0.8908667727303887,0.1689402816504903,-0.0645827601512996,0.20628283558342836
ag35,150000.0,13.5,0.8810015115275094,0.17695969413317728,-0.07097664986620675,0.17154473771982995
ag35,150000.0,13.75,0.8785773954361463,0.18216946559425665,-0.07607277942232213,0.14818327775014545
ag35,150000.0,14.0,0.8801997895694531,0.186098745214595,-0.08027666589254714,0.13239915907652552
ag35,150000.0,14.25,0.8837572760427829,0.1897421792040647,-0.0840012609990951,0.1214855461610386
ag35,150000.0,14.5,0.888098000331495,0.1935111697643974,-0.08757357791667203,0.11371021482880905
ag35,150000.0,14.75,0.8926040112499817,0.19748712218732042,-0.09120853776059272,0.10807857816472936
ag35,150000.0,15.0,0.8969322835737434,0.2016445212562508,-0.09502886989779792,0.10405306196569758
ag35,150000.0,15.25,0.9008911708005591,0.20595543030899122,-0.0990981534129279,0.10132401364342226
ag35,150000.0,15.5,0.9043775533840368,0.21041709359692712,-0.10344725928851684,0.09967609855483613
ag35,150000.0,15.75,0.9073392472536417,0.21505003968961414,-0.10808971678597543,0.09893184336531297
